"Major","ComplexType","ComplexDescr","NbrBldgs","NbrStories","NbrUnits","AvgUnitSize","LandPerUnit","ProjectLocation","ProjectAppeal","PcntWithView","ConstrClass","BldgQuality","Condition","YrBuilt","EffYr","PcntComplete","Elevators","SectySystem","Fireplace","Laundry","AptConversion","CondoLandType","Address","BuildingNumber","Fraction","DirectionPrefix","StreetName","StreetType","DirectionSuffix","ZipCode"
"256992","1","4 UNIT CONDO","2","2","4","1150","1260","3","3","0","4","5","3","1997","1997","100","N","N"," ","2","N","1","511          WARD                      ST      98109","511  ","   ","  ","WARD                     ","ST  ","  ","98109"
"256993","4","14 RES UNITS + 1 COML UNIT","1","4","15","1043","474","3","3","0","4","5","4","1997","1997","100","Y","Y","Y","2","N","1","515          1ST                       AVE  W  98119","515  ","   ","  ","1ST                      ","AVE ","W ","98119"
"256996","3"," ","0","1","2","2845","0","0","0","0","3","5","0","2004","2004","0"," "," "," ","0"," ","0","524       W  MEEKER                    ST      98032","524  ","   ","W ","MEEKER                   ","ST  ","  ","98032"
"257001","1","13 CONDO UNITS","1","5","13","1470","723","4","3","0","4","6","3","2023","2023","100","Y","Y","N","2","N","1","1406         3RD                       AVE  W  98119","1406 ","   ","  ","3RD                      ","AVE ","W ","98119"
"257010","1","12 UNIT CONDO","1","4","12","810","659","2","3","0","4","4","3","1981","1998","100","Y","Y","N","2","N","1","555       N  105TH                     ST      98133","555  ","   ","N ","105TH                    ","ST  ","  ","98133"
"257015","1","6 UNIT CONDO","1","4","6","1090","960","3","3","0","4","4","5","1979","1998","100","N","Y","Y","2","N","1","555          PROSPECT                  ST      98109","555  ","   ","  ","PROSPECT                 ","ST  ","  ","98109"
"257018","1","2 unit condo","1","2","2","1078","3000","3","3","0","4","4","3","1999","1999","100","N","N","Y","2","N","1","516          WILLIAMS                  AVE  S  98057","516  ","   ","  ","WILLIAMS                 ","AVE ","S ","98057"
"257019","1","Condo Conversion","1","3","7","852","731","4","3","0","4","4","4","1905","1965","100","N","Y","N","1","Y","1","532          19TH                      AVE     98122","532  ","   ","  ","19TH                     ","AVE ","  ","98122"
"257020","1","4 UNIT CONDO","1","4","4","1104","1290","3","3","0","4","5","5","1975","1986","100","N","Y","Y","2","N","1","510          WARD                      ST      98109","510  ","   ","  ","WARD                     ","ST  ","  ","98109"
"257022","1","22 UNIT CONDO","1","5","22","1895","1000","4","3","0","4","6","3","1998","1998","100","Y","Y","Y","2","N","1","520          6TH                       AVE     98033","520  ","   ","  ","6TH                      ","AVE ","  ","98033"
"257029","1","2 UNIT CONDO","1","2","2","1000","3420","3","3","0","4","4","3","1998","1998","100","N","N"," ","2","N","1","536          WILLIAMS                  AVE  S  98057","536  ","   ","  ","WILLIAMS                 ","AVE ","S ","98057"
"261746","1","5 unit condo","1","2","5","862","1200","3","3","0","4","4","3","1999","1999","100","N","N","Y","2","N","1","1546         17TH                      AVE  S  98144","1546 ","   ","  ","17TH                     ","AVE ","S ","98144"
"261748","1","TH & FLATS","1","10","22","1180","643","2","3","0","4","6","3","1992","1992","100","Y","Y","Y","2","N","1","420          MELROSE                   AVE  E  98102","420  ","   ","  ","MELROSE                  ","AVE ","E ","98102"
"261757","10","SFR+AADU+DADU","2","2","3","840","1452","4","3","0","4","5","3","2023","2023","100","N","N","N","2","N","1","1415         29TH                      AVE     ","1415 ","   ","  ","29TH                     ","AVE ","  ",""
"261759","1","6 UNIT CONDO","1","3","6","785","835","3","3","0","4","4","5","1968","2007","100","N","N","Y","2","Y","1","1430      NW 59TH                      ST      98107","1430 ","   ","NW","59TH                     ","ST  ","  ","98107"
"261761","1","6 UNIT CONDO","1","3","6","1055","1000","3","3","0","4","6","3","2000","2000","100","Y","Y","Y","2","N","1","2851         14TH                      AVE  W  98119","2851 ","   ","  ","14TH                     ","AVE ","W ","98119"
"261770","1","7 UNIT CONDO","4","2","7","1324","2130","4","3","0","4","5","5","1907","1996","100","N","N","Y","2","Y","1","309       W  LEE                       ST      98119","309  ","   ","W ","LEE                      ","ST  ","  ","98119"
"261787","10","SFR+DADU","2","2","2","1464","3513","4","3","0","4","4","3","2023","2023","100","N","N","N","2","N","1","4706      SW SPOKANE                   ST      98116","4706 ","   ","SW","SPOKANE                  ","ST  ","  ","98116"
"261791","1","2 UNIT TOWNHOUSE CONDO","1","3","2","2200","2216","3","3","0","4","6","3","2021","2021","100","N","N","Y","2","N","1","4815         EVANSTON                  AVE  N  ","4815 ","   ","  ","EVANSTON                 ","AVE ","N ",""
"261802","10","SFR+AADU+AADU","3","3","3","1501","1522","4","3","0","4","5","3","2023","2023","100","N","N","Y","2","N","1","4011         CORLISS                   AVE  N  ","4011 ","   ","  ","CORLISS                  ","AVE ","N ",""
"263550","1","6 CONDO UNITS","1","3","6","1406","1027","2","3","0","4","5","3","2000","2000","100","Y","Y"," ","2","N","1","1906         FRANKLIN                  PL   E  98102","1906 ","   ","  ","FRANKLIN                 ","PL  ","E ","98102"
